datenum,year,month,day,datetime,data_mean_global,data_mean_nh,data_mean_sh
15.5,0,1,15,15-Jan-0000 12:00:00,278.366424560547,279.045654296875,277.687225341797
45.5,0,2,14,14-Feb-0000 12:00:00,278.713043212891,279.665405273438,277.760711669922
75.5,0,3,15,15-Mar-0000 12:00:00,279.013824462891,280.266784667969,277.760894775391
106,0,4,15,15-Apr-0000 00:00:00,279.209625244141,280.756591796875,277.662628173828
136.5,0,5,15,15-May-0000 12:00:00,279.1064453125,280.613494873047,277.599395751953
167,0,6,15,15-Jun-0000 00:00:00,278.325592041016,279.050994873047,277.600189208984
197.5,0,7,15,15-Jul-0000 12:00:00,276.637023925781,275.720916748047,277.553100585938
228.5,0,8,15,15-Aug-0000 12:00:00,274.985778808594,272.611755371094,277.359832763672
259,0,9,15,15-Sep-0000 00:00:00,274.898498535156,272.662078857422,277.134948730469
289.5,0,10,15,15-Oct-0000 12:00:00,275.889831542969,274.725708007812,277.053955078125
320,0,11,15,15-Nov-0000 00:00:00,276.851715087891,276.562286376953,277.141143798828
350.5,0,12,15,15-Dec-0000 12:00:00,277.450164794922,277.766326904297,277.133972167969
381.5,1,1,15,15-Jan-0001 12:00:00,277.876678466797,278.555908203125,277.197448730469
411,1,2,14,14-Feb-0001 00:00:00,278.231597900391,279.183929443359,277.279266357422
440.5,1,3,15,15-Mar-0001 12:00:00,278.551177978516,279.804107666016,277.298248291016
471,1,4,15,15-Apr-0001 00:00:00,278.774658203125,280.321655273438,277.227661132812
501.5,1,5,15,15-May-0001 12:00:00,278.70654296875,280.213592529297,277.199493408203
532,1,6,15,15-Jun-0001 00:00:00,277.966461181641,278.691864013672,277.241058349609
562.5,1,7,15,15-Jul-0001 12:00:00,276.322845458984,275.40673828125,277.238922119141
593.5,1,8,15,15-Aug-0001 12:00:00,274.719146728516,272.345092773438,277.093170166016
624,1,9,15,15-Sep-0001 00:00:00,274.680358886719,272.443939208984,276.916809082031
654.5,1,10,15,15-Oct-0001 12:00:00,275.719604492188,274.555480957031,276.883728027344
685,1,11,15,15-Nov-0001 00:00:00,276.727233886719,276.437805175781,277.016662597656
715.5,1,12,15,15-Dec-0001 12:00:00,277.36767578125,277.683868408203,277.051513671875
746.5,2,1,15,15-Jan-0002 12:00:00,277.830871582031,278.510070800781,277.151641845703
776,2,2,14,14-Feb-0002 00:00:00,278.215698242188,279.168029785156,277.263366699219
805.5,2,3,15,15-Mar-0002 12:00:00,278.558441162109,279.811370849609,277.305480957031
836,2,4,15,15-Apr-0002 00:00:00,278.799011230469,280.346008300781,277.252014160156
866.5,2,5,15,15-May-0002 12:00:00,278.742553710938,280.249603271484,277.235504150391
897,2,6,15,15-Jun-0002 00:00:00,278.009490966797,278.734893798828,277.284088134766
927.5,2,7,15,15-Jul-0002 12:00:00,276.368804931641,275.452728271484,277.284912109375
958.5,2,8,15,15-Aug-0002 12:00:00,274.764709472656,272.390655517578,277.138763427734
989,2,9,15,15-Sep-0002 00:00:00,274.722900390625,272.486480712891,276.959350585938
1019.5,2,10,15,15-Oct-0002 12:00:00,275.757141113281,274.593017578125,276.921234130859
1050,2,11,15,15-Nov-0002 00:00:00,276.758422851562,276.468994140625,277.0478515625
1080.5,2,12,15,15-Dec-0002 12:00:00,277.391937255859,277.708129882812,277.075775146484
1111.5,3,1,15,15-Jan-0003 12:00:00,277.848266601562,278.527496337891,277.169036865234
1141,3,2,14,14-Feb-0003 00:00:00,278.226959228516,279.179290771484,277.274627685547
1170.5,3,3,15,15-Mar-0003 12:00:00,278.564453125,279.817413330078,277.3115234375
1201,3,4,15,15-Apr-0003 00:00:00,278.800659179688,280.34765625,277.253662109375
1231.5,3,5,15,15-May-0003 12:00:00,278.740661621094,280.247711181641,277.233612060547
1262,3,6,15,15-Jun-0003 00:00:00,278.004760742188,278.730163574219,277.279357910156
1292.5,3,7,15,15-Jul-0003 12:00:00,276.361938476562,275.445831298828,277.278015136719
1323.5,3,8,15,15-Aug-0003 12:00:00,274.756317138672,272.382263183594,277.13037109375
1354,3,9,15,15-Sep-0003 00:00:00,274.713562011719,272.477111816406,276.949981689453
1384.5,3,10,15,15-Oct-0003 12:00:00,275.747314453125,274.583190917969,276.911437988281
1415,3,11,15,15-Nov-0003 00:00:00,276.748626708984,276.459197998047,277.038055419922
1445.5,3,12,15,15-Dec-0003 12:00:00,277.382507324219,277.698699951172,277.066345214844
1476.5,4,1,15,15-Jan-0004 12:00:00,277.839538574219,278.518768310547,277.160308837891
1506.5,4,2,14,14-Feb-0004 12:00:00,278.219207763672,279.171539306641,277.266876220703
1536.5,4,3,15,15-Mar-0004 12:00:00,278.557891845703,279.810852050781,277.304962158203
1567,4,4,15,15-Apr-0004 00:00:00,278.795471191406,280.342468261719,277.248474121094
1597.5,4,5,15,15-May-0004 12:00:00,278.736999511719,280.244049072266,277.229949951172
