datenum,year,month,day,datetime,data_mean_global,data_mean_nh,data_mean_sh
735979,2015,1,15,15-Jan-2015 00:00:00,399.985779017348,403.364912307072,396.606645727625
736010,2015,2,15,15-Feb-2015 00:00:00,400.472155819115,404.067995706475,396.876315931756
736038,2015,3,15,15-Mar-2015 00:00:00,400.82992588696,404.587708630469,397.07214314345
736069,2015,4,15,15-Apr-2015 00:00:00,401.062214599649,404.826737263316,397.297691935981
736099,2015,5,15,15-May-2015 00:00:00,400.766076754248,403.919281141906,397.61287236659
736130,2015,6,15,15-Jun-2015 00:00:00,399.64274869699,401.18575134057,398.09974605341
736160,2015,7,15,15-Jul-2015 00:00:00,398.118186272486,397.617207206718,398.619165338254
736191,2015,8,15,15-Aug-2015 00:00:00,397.216509878655,395.57434209644,398.858677660869
736222,2015,9,15,15-Sep-2015 00:00:00,397.85422862252,396.727310149328,398.981147095712
736252,2015,10,15,15-Oct-2015 00:00:00,399.666729488802,400.062970654496,399.270488323108
736283,2015,11,15,15-Nov-2015 00:00:00,401.330855209715,403.092900700964,399.568809718465
736313,2015,12,15,15-Dec-2015 00:00:00,402.435809602454,405.101519987715,399.770099217193
736344,2016,1,15,15-Jan-2016 00:00:00,403.286761484442,406.443754302224,400.12976866666
736375,2016,2,15,15-Feb-2016 00:00:00,403.809129605315,407.320840710801,400.297418499829
736404,2016,3,15,15-Mar-2016 00:00:00,404.181635266875,407.992023368817,400.371247164934
736435,2016,4,15,15-Apr-2016 00:00:00,404.405990706312,408.357408648491,400.454572764133
736465,2016,5,15,15-May-2016 00:00:00,404.07667327086,407.546596671197,400.606749870523
736496,2016,6,15,15-Jun-2016 00:00:00,402.899277275356,404.88465107569,400.913903475021
736526,2016,7,15,15-Jul-2016 00:00:00,401.314127521388,401.303604067261,401.324650975515
736557,2016,8,15,15-Aug-2016 00:00:00,400.350187594379,399.173721147235,401.526654041522
736588,2016,9,15,15-Sep-2016 00:00:00,400.91694587628,400.231748689307,401.602143063253
736618,2016,10,15,15-Oct-2016 00:00:00,402.654933429927,403.469882485965,401.839984373888
736649,2016,11,15,15-Nov-2016 00:00:00,404.241198853049,406.39973333444,402.082664371658
736679,2016,12,15,15-Dec-2016 00:00:00,405.266690330088,408.303738314815,402.229642345361
736710,2017,1,15,15-Jan-2017 00:00:00,406.0633296672,409.541303908385,402.585355426014
736741,2017,2,15,15-Feb-2017 00:00:00,406.529421277681,410.306367732513,402.752474822849
736769,2017,3,15,15-Mar-2017 00:00:00,406.85494968552,410.872975005034,402.836924366007
736800,2017,4,15,15-Apr-2017 00:00:00,407.046303414253,411.144217067986,402.948389760519
736830,2017,5,15,15-May-2017 00:00:00,406.693835608619,410.242638606373,403.145032610866
736861,2017,6,15,15-Jun-2017 00:00:00,405.502952138953,407.493541888577,403.512362389328
736891,2017,7,15,15-Jul-2017 00:00:00,403.928089970889,403.888682523486,403.967497418293
736922,2017,8,15,15-Aug-2017 00:00:00,402.998518212061,401.805487081792,404.19154934233
736953,2017,9,15,15-Sep-2017 00:00:00,403.606834530021,402.918514364253,404.295154695789
736983,2017,10,15,15-Oct-2017 00:00:00,405.394311709481,406.220980843201,404.567642575761
737014,2017,11,15,15-Nov-2017 00:00:00,407.03158116711,409.217830559195,404.845331775026
737044,2017,12,15,15-Dec-2017 00:00:00,408.105404264808,411.18191077598,405.028897753636
737075,2018,1,15,15-Jan-2018 00:00:00,408.949028054794,412.472371746009,405.425684363579
737106,2018,2,15,15-Feb-2018 00:00:00,409.455800019017,413.283773063926,405.627826974108
737134,2018,3,15,15-Mar-2018 00:00:00,409.816158231399,413.889073967453,405.743242495345
737165,2018,4,15,15-Apr-2018 00:00:00,410.036048000383,414.189284912701,405.882811088064
737195,2018,5,15,15-May-2018 00:00:00,409.700433883765,413.298723737623,406.102144029908
737226,2018,6,15,15-Jun-2018 00:00:00,408.516860609986,410.545245096775,406.488476123198
737256,2018,7,15,15-Jul-2018 00:00:00,406.955931548038,406.948588539415,406.96327455666
737287,2018,8,15,15-Aug-2018 00:00:00,406.049712890258,404.895615821768,407.203809958748
737318,2018,9,15,15-Sep-2018 00:00:00,406.676947987688,406.035518300435,407.318377674941
737348,2018,10,15,15-Oct-2018 00:00:00,408.482129073895,409.365002006498,407.599256141292
737379,2018,11,15,15-Nov-2018 00:00:00,410.132175179735,412.385056935206,407.879293424263
737409,2018,12,15,15-Dec-2018 00:00:00,411.212294896627,414.361745959836,408.062843833417
737440,2019,1,15,15-Jan-2019 00:00:00,412.060527349387,415.658351704756,408.462702994018
737471,2019,2,15,15-Feb-2019 00:00:00,412.565756651447,416.468653231404,408.662860071491
737499,2019,3,15,15-Mar-2019 00:00:00,412.922388073209,417.068833828836,408.775942317583
737530,2019,4,15,15-Apr-2019 00:00:00,413.138479571622,417.360339596361,408.916619546883
737560,2019,5,15,15-May-2019 00:00:00,412.794611155641,416.450197392101,409.13902491918
737591,2019,6,15,15-Jun-2019 00:00:00,411.599855275392,413.66821305271,409.531497498073
737621,2019,7,15,15-Jul-2019 00:00:00,410.040590654568,410.064677931939,410.016503377197
737652,2019,8,15,15-Aug-2019 00:00:00,409.15096845958,408.03533629844,410.266600620721
737683,2019,9,15,15-Sep-2019 00:00:00,409.794765721502,409.199948459898,410.389582983106
737713,2019,10,15,15-Oct-2019 00:00:00,411.618992156697,412.558014527734,410.67996978566
737744,2019,11,15,15-Nov-2019 00:00:00,413.285985951558,415.605696188925,410.96627571419
737774,2019,12,15,15-Dec-2019 00:00:00,414.378586339193,417.601329682544,411.155842995843
737805,2020,1,15,15-Jan-2020 00:00:00,415.238777751515,418.911309464173,411.566246038858
737836,2020,2,15,15-Feb-2020 00:00:00,415.750486705008,419.728539782557,411.772433627459
737865,2020,3,15,15-Mar-2020 00:00:00,416.111215615026,420.331404625758,411.891026604295
737896,2020,4,15,15-Apr-2020 00:00:00,416.330398120035,420.621025029117,412.039771210954
737926,2020,5,15,15-May-2020 00:00:00,415.983736562854,419.696602609344,412.270870516363
737957,2020,6,15,15-Jun-2020 00:00:00,414.781934373169,416.890003637693,412.673865108645
737987,2020,7,15,15-Jul-2020 00:00:00,413.227494487294,413.282122604909,413.172866369679
738018,2020,8,15,15-Aug-2020 00:00:00,412.356808089212,411.277837563509,413.435778614916
738049,2020,9,15,15-Sep-2020 00:00:00,413.018599541029,412.467693361493,413.569505720564
738079,2020,10,15,15-Oct-2020 00:00:00,414.862557208122,415.854149272434,413.870965143811
738110,2020,11,15,15-Nov-2020 00:00:00,416.546499112648,418.928595852094,414.164402373202
738140,2020,12,15,15-Dec-2020 00:00:00,417.650987116068,420.941658852841,414.360315379296
738171,2021,1,15,15-Jan-2021 00:00:00,418.522102042419,422.262957642407,414.781246442432
738202,2021,2,15,15-Feb-2021 00:00:00,419.038933246574,423.084751574873,414.993114918275
738230,2021,3,15,15-Mar-2021 00:00:00,419.402218790647,423.687728673445,415.11670890785
738261,2021,4,15,15-Apr-2021 00:00:00,419.622910167416,423.972805750348,415.273014584484
738291,2021,5,15,15-May-2021 00:00:00,419.271850525663,423.031340682424,415.512360368901
738322,2021,6,15,15-Jun-2021 00:00:00,418.061386879059,420.197278166473,415.925495591645
738352,2021,7,15,15-Jul-2021 00:00:00,416.510330478557,416.58350130286,416.437159654255
738383,2021,8,15,15-Aug-2021 00:00:00,415.657322501323,414.604118370032,416.710526632614
738414,2021,9,15,15-Sep-2021 00:00:00,416.335827738006,415.819054448383,416.852601027628
738444,2021,10,15,15-Oct-2021 00:00:00,418.198228680237,419.233746969268,417.162710391205
